Du,Dv,F,k,steps_used,mean_V,std_V,gradient_strength,active_ratio,image
0.16,0.08,0.02,0.05,5000,0.13285499654174282,0.09643601673883283,0.03588953187856604,0.1672,pattern_F0.0200_k0.0500.png
0.16,0.08,0.02,0.0525,5000,0.10677928521676547,0.10388808508397067,0.04057817089096302,0.2026,pattern_F0.0200_k0.0525.png
0.16,0.08,0.02,0.055,5000,0.10389849428748511,0.09718995318296421,0.0455981101116498,0.212275,pattern_F0.0200_k0.0550.png
0.16,0.08,0.02,0.0575,5000,0.07970375176897972,0.09987620955418576,0.042040990955272646,0.187725,pattern_F0.0200_k0.0575.png
0.16,0.08,0.02,0.06,700,3.3808909607036423e-12,2.863574257336939e-11,8.708963541222358e-13,0.01675,pattern_F0.0200_k0.0600.png
0.16,0.08,0.02,0.0625,300,1.6635072275527296e-10,7.168899931825052e-10,4.091365845113484e-11,0.048975,pattern_F0.0200_k0.0625.png
0.16,0.08,0.02,0.065,300,1.367077017804674e-11,4.8665065581770736e-11,2.4895135341140844e-12,0.0755,pattern_F0.0200_k0.0650.png
0.16,0.08,0.0225,0.05,5000,0.1853549426992474,0.05219755039324957,0.024692250586549024,0.129975,pattern_F0.0225_k0.0500.png
0.16,0.08,0.0225,0.0525,5000,0.15966472902383844,0.0853266862319156,0.045222500747864026,0.2304,pattern_F0.0225_k0.0525.png
0.16,0.08,0.0225,0.055,5000,0.12950210734725895,0.10263423926572497,0.050268160566630055,0.221175,pattern_F0.0225_k0.0550.png
0.16,0.08,0.0225,0.0575,5000,0.1035584356241764,0.10584597516062506,0.051541292625082454,0.208875,pattern_F0.0225_k0.0575.png
0.16,0.08,0.0225,0.06,5000,0.06273743900189808,0.09421321706277104,0.03453047832441536,0.16775,pattern_F0.0225_k0.0600.png
0.16,0.08,0.0225,0.0625,300,4.913382724704653e-10,2.431253948402967e-09,1.396818918770916e-10,0.041275,pattern_F0.0225_k0.0625.png
0.16,0.08,0.0225,0.065,300,1.0845042283012278e-11,4.0251550273489446e-11,2.133384840107791e-12,0.070225,pattern_F0.0225_k0.0650.png
0.16,0.08,0.025,0.05,5000,0.2016590237724135,0.0600346456679978,0.015943835752338417,0.101075,pattern_F0.0250_k0.0500.png
0.16,0.08,0.025,0.0525,5000,0.187084274231228,0.07423824647388216,0.03918883586925505,0.142075,pattern_F0.0250_k0.0525.png
0.16,0.08,0.025,0.055,5000,0.15371682931440428,0.09319703753838333,0.052926611253802144,0.2477,pattern_F0.0250_k0.0550.png
0.16,0.08,0.025,0.0575,5000,0.12395473816482137,0.10024866656951177,0.056085196854601935,0.2296,pattern_F0.0250_k0.0575.png
0.16,0.08,0.025,0.06,5000,0.08919827097415112,0.10388330100192987,0.04699855142244979,0.196925,pattern_F0.0250_k0.0600.png
0.16,0.08,0.025,0.0625,5000,0.01994057860976324,0.061858865188548294,0.011752600662903477,0.0771,pattern_F0.0250_k0.0625.png
0.16,0.08,0.025,0.065,300,9.607883672895582e-12,3.763335080629019e-11,2.0604283742150393e-12,0.062325,pattern_F0.0250_k0.0650.png
0.16,0.08,0.0275,0.05,3300,0.24049209935715526,4.319217671778356e-06,2.171244432754288e-07,0.204,pattern_F0.0275_k0.0500.png
0.16,0.08,0.0275,0.0525,5000,0.20519682664424974,0.03269247110895998,0.007123970155224349,0.05395,pattern_F0.0275_k0.0525.png
0.16,0.08,0.0275,0.055,5000,0.17507710351891473,0.08549884547988303,0.04679530290187758,0.20745,pattern_F0.0275_k0.0550.png
0.16,0.08,0.0275,0.0575,5000,0.14759502074845887,0.10015748922102516,0.057561846295373115,0.25505,pattern_F0.0275_k0.0575.png
0.16,0.08,0.0275,0.06,5000,0.10712089399758395,0.10891401344854627,0.05488647942589144,0.212125,pattern_F0.0275_k0.0600.png
0.16,0.08,0.0275,0.0625,5000,0.040350799736924105,0.08491030528034284,0.02334022679954645,0.12255,pattern_F0.0275_k0.0625.png
0.16,0.08,0.0275,0.065,300,1.0293554423879388e-11,4.32151320340932e-11,2.429256352403541e-12,0.051825,pattern_F0.0275_k0.0650.png
0.16,0.08,0.03,0.05,2300,0.259311210619232,1.0956754676515758e-05,5.712933808597823e-07,0.0946,pattern_F0.0300_k0.0500.png
0.16,0.08,0.03,0.0525,5000,0.23715314691313025,2.3469709112768425e-05,1.1660343882500875e-06,0.186125,pattern_F0.0300_k0.0525.png
0.16,0.08,0.03,0.055,5000,0.19771931077908728,0.07265100961039406,0.039440915367436304,0.10915,pattern_F0.0300_k0.0550.png
0.16,0.08,0.03,0.0575,5000,0.16486184022119743,0.09871706457099054,0.057282721155581966,0.24075,pattern_F0.0300_k0.0575.png
0.16,0.08,0.03,0.06,5000,0.1030561323150453,0.11179972790670466,0.04737345846805589,0.2236,pattern_F0.0300_k0.0600.png
0.16,0.08,0.03,0.0625,5000,0.058118776569508396,0.09891855017241323,0.0328483146789328,0.15205,pattern_F0.0300_k0.0625.png
0.16,0.08,0.03,0.065,300,1.6592822915107942e-11,7.62691679559186e-11,4.353862730551432e-12,0.0459,pattern_F0.0300_k0.0650.png
0.16,0.08,0.0325,0.05,2200,0.2763229410170652,5.742504889980604e-06,2.733785234493874e-07,0.0,pattern_F0.0325_k0.0500.png
0.16,0.08,0.0325,0.0525,2700,0.2548084043360366,7.128857666831189e-06,4.1573260561733773e-07,0.162125,pattern_F0.0325_k0.0525.png
0.16,0.08,0.0325,0.055,5000,0.20532804705086083,0.03818112431518405,0.004594309611343687,0.132925,pattern_F0.0325_k0.0550.png
0.16,0.08,0.0325,0.0575,5000,0.1820290721675475,0.09452165171486888,0.053130341493840945,0.209375,pattern_F0.0325_k0.0575.png
0.16,0.08,0.0325,0.06,5000,0.13715649528523793,0.11288512704981082,0.057379165307515884,0.249875,pattern_F0.0325_k0.0600.png
0.16,0.08,0.0325,0.0625,5000,0.06987336300588572,0.1064621972905858,0.03815851703609588,0.168475,pattern_F0.0325_k0.0625.png
0.16,0.08,0.0325,0.065,300,2.4665872714173957e-10,1.5370883710383688e-09,7.690661248771965e-11,0.0322,pattern_F0.0325_k0.0650.png
0.16,0.08,0.035,0.05,2200,0.291832644261749,4.03013039769612e-06,1.3272155987642084e-07,0.0,pattern_F0.0350_k0.0500.png
0.16,0.08,0.035,0.0525,2500,0.27071199435250104,6.615654081153645e-06,3.596110592380634e-07,0.0238,pattern_F0.0350_k0.0525.png
0.16,0.08,0.035,0.055,3600,0.24743799852970783,3.017998147483454e-06,2.8522470749102297e-07,0.0583,pattern_F0.0350_k0.0550.png
0.16,0.08,0.035,0.0575,5000,0.19908125796652518,0.08896839261958563,0.04978599387266928,0.165625,pattern_F0.0350_k0.0575.png
0.16,0.08,0.035,0.06,5000,0.1574352550109885,0.11146050575667688,0.0620612747885884,0.25275,pattern_F0.0350_k0.0600.png
0.16,0.08,0.035,0.0625,5000,0.06385078405924999,0.10506815008371594,0.03155924236469724,0.1714,pattern_F0.0350_k0.0625.png
0.16,0.08,0.035,0.065,5000,0.014568151409756437,0.05691325815152793,0.008837422922867624,0.056375,pattern_F0.0350_k0.0650.png
0.16,0.08,0.0375,0.05,2200,0.30603724022949125,1.4207389814364488e-06,5.097545612558594e-08,0.001475,pattern_F0.0375_k0.0500.png
0.16,0.08,0.0375,0.0525,2500,0.285163223642019,4.41405407652104e-06,1.854231156455328e-07,0.015075,pattern_F0.0375_k0.0525.png
0.16,0.08,0.0375,0.055,3100,0.2626055753900927,5.615346824850054e-06,2.794224407208605e-07,0.02075,pattern_F0.0375_k0.0550.png
0.16,0.08,0.0375,0.0575,5000,0.2237097313647947,0.06567500669190969,0.03510849983170395,0.025475,pattern_F0.0375_k0.0575.png
0.16,0.08,0.0375,0.06,5000,0.1749405654225503,0.11007501953335942,0.06369157021272616,0.247475,pattern_F0.0375_k0.0600.png
0.16,0.08,0.0375,0.0625,5000,0.04848138571050405,0.0970442164302042,0.0223704257856803,0.146425,pattern_F0.0375_k0.0625.png
0.16,0.08,0.0375,0.065,5000,0.02148401784570656,0.06911315680919973,0.012810391435890023,0.073425,pattern_F0.0375_k0.0650.png
0.16,0.08,0.04,0.05,2200,0.31908657879983593,7.058326628243899e-07,2.5313749601161997e-08,0.0061,pattern_F0.0400_k0.0500.png
0.16,0.08,0.04,0.0525,2500,0.2983711845887865,1.2559393913734464e-06,7.558893997983458e-08,0.0069,pattern_F0.0400_k0.0525.png
0.16,0.08,0.04,0.055,3000,0.2762630855710415,4.306795453951987e-06,2.3459675920267234e-07,0.03135,pattern_F0.0400_k0.0550.png
0.16,0.08,0.04,0.0575,4300,0.2507076537800293,4.509523275716223e-06,6.886018513293956e-07,0.02735,pattern_F0.0400_k0.0575.png
0.16,0.08,0.04,0.06,5000,0.18787791239770812,0.10858349753026711,0.060324192130022554,0.214725,pattern_F0.0400_k0.0600.png
0.16,0.08,0.04,0.0625,5000,0.06190991109721168,0.10776739942501949,0.027160116216786462,0.174775,pattern_F0.0400_k0.0625.png
0.16,0.08,0.04,0.065,5000,0.023802642500893877,0.07333936345899415,0.013920731315373228,0.0784,pattern_F0.0400_k0.0650.png
0.16,0.08,0.0425,0.05,2200,0.3310990275217432,5.833147977385119e-07,1.8468123325372933e-08,0.0,pattern_F0.0425_k0.0500.png
0.16,0.08,0.0425,0.0525,2500,0.3104864073348382,9.444244213570694e-07,5.2373842333137104e-08,0.0083,pattern_F0.0425_k0.0525.png
0.16,0.08,0.0425,0.055,3000,0.28867158989493147,3.677605161165059e-06,1.2373528314574447e-07,0.029,pattern_F0.0425_k0.0550.png
0.16,0.08,0.0425,0.0575,4100,0.26403841078754275,2.283891859461132e-06,2.0246229300491637e-07,0.00335,pattern_F0.0425_k0.0575.png
0.16,0.08,0.0425,0.06,5000,0.19988418526978735,0.10695719324956894,0.05770317895727031,0.174475,pattern_F0.0425_k0.0600.png
0.16,0.08,0.0425,0.0625,5000,0.07009990754858501,0.11440870498850927,0.029687775645310596,0.1864,pattern_F0.0425_k0.0625.png
0.16,0.08,0.0425,0.065,5000,0.026200494577181856,0.07740954275918902,0.01507894112233645,0.0848,pattern_F0.0425_k0.0650.png
0.16,0.08,0.045,0.05,2200,0.342170972588656,3.6987768054967994e-07,1.0979105150554669e-08,0.0,pattern_F0.0450_k0.0500.png
0.16,0.08,0.045,0.0525,2500,0.321623346341604,1.853486024491979e-06,6.43778866919456e-08,0.01625,pattern_F0.0450_k0.0525.png
0.16,0.08,0.045,0.055,3000,0.30000042747775757,2.807704477287153e-06,9.311097411838628e-08,0.02825,pattern_F0.0450_k0.0550.png
0.16,0.08,0.045,0.0575,4000,0.27595387804485333,3.900228477085796e-06,1.8157202439585416e-07,0.02475,pattern_F0.0450_k0.0575.png
0.16,0.08,0.045,0.06,5000,0.21046417936780376,0.10605891097261089,0.05600507029240513,0.148275,pattern_F0.0450_k0.0600.png
0.16,0.08,0.045,0.0625,5000,0.07492922668830902,0.1184769834157115,0.03065888708261532,0.1954,pattern_F0.0450_k0.0625.png
0.16,0.08,0.045,0.065,5000,0.026421211501768505,0.0782043161047801,0.014287270759028758,0.0863,pattern_F0.0450_k0.0650.png
