Du,Dv,F,k,steps,image,pattern_note
0.16,0.08,0.02,0.045,3000,pattern_F0.020_k0.045.png,almost uniform
0.16,0.08,0.02,0.05,3000,pattern_F0.020_k0.050.png,spots or mixed
0.16,0.08,0.02,0.055,3000,pattern_F0.020_k0.055.png,spots or mixed
0.16,0.08,0.02,0.06,3000,pattern_F0.020_k0.060.png,almost uniform
0.16,0.08,0.02,0.065,3000,pattern_F0.020_k0.065.png,almost uniform
0.16,0.08,0.02,0.07,3000,pattern_F0.020_k0.070.png,almost uniform
0.16,0.08,0.025,0.045,3000,pattern_F0.025_k0.045.png,almost uniform
0.16,0.08,0.025,0.05,3000,pattern_F0.025_k0.050.png,stripe-like or mixed
0.16,0.08,0.025,0.055,3000,pattern_F0.025_k0.055.png,spots or mixed
0.16,0.08,0.025,0.06,3000,pattern_F0.025_k0.060.png,spots or mixed
0.16,0.08,0.025,0.065,3000,pattern_F0.025_k0.065.png,almost uniform
0.16,0.08,0.025,0.07,3000,pattern_F0.025_k0.070.png,almost uniform
0.16,0.08,0.03,0.045,3000,pattern_F0.030_k0.045.png,almost uniform
0.16,0.08,0.03,0.05,3000,pattern_F0.030_k0.050.png,almost uniform
0.16,0.08,0.03,0.055,3000,pattern_F0.030_k0.055.png,stripe-like or mixed
0.16,0.08,0.03,0.06,3000,pattern_F0.030_k0.060.png,spots or mixed
0.16,0.08,0.03,0.065,3000,pattern_F0.030_k0.065.png,almost uniform
0.16,0.08,0.03,0.07,3000,pattern_F0.030_k0.070.png,almost uniform
0.16,0.08,0.035,0.045,3000,pattern_F0.035_k0.045.png,almost uniform
0.16,0.08,0.035,0.05,3000,pattern_F0.035_k0.050.png,almost uniform
0.16,0.08,0.035,0.055,3000,pattern_F0.035_k0.055.png,almost uniform
0.16,0.08,0.035,0.06,3000,pattern_F0.035_k0.060.png,spots or mixed
0.16,0.08,0.035,0.065,3000,pattern_F0.035_k0.065.png,stripe-like or mixed
0.16,0.08,0.035,0.07,3000,pattern_F0.035_k0.070.png,almost uniform
0.16,0.08,0.04,0.045,3000,pattern_F0.040_k0.045.png,almost uniform
0.16,0.08,0.04,0.05,3000,pattern_F0.040_k0.050.png,almost uniform
0.16,0.08,0.04,0.055,3000,pattern_F0.040_k0.055.png,almost uniform
0.16,0.08,0.04,0.06,3000,pattern_F0.040_k0.060.png,spots or mixed
0.16,0.08,0.04,0.065,3000,pattern_F0.040_k0.065.png,stripe-like or mixed
0.16,0.08,0.04,0.07,3000,pattern_F0.040_k0.070.png,almost uniform
0.16,0.08,0.045,0.045,3000,pattern_F0.045_k0.045.png,almost uniform
0.16,0.08,0.045,0.05,3000,pattern_F0.045_k0.050.png,almost uniform
0.16,0.08,0.045,0.055,3000,pattern_F0.045_k0.055.png,almost uniform
0.16,0.08,0.045,0.06,3000,pattern_F0.045_k0.060.png,spots or mixed
0.16,0.08,0.045,0.065,3000,pattern_F0.045_k0.065.png,stripe-like or mixed
0.16,0.08,0.045,0.07,3000,pattern_F0.045_k0.070.png,almost uniform
0.16,0.08,0.05,0.045,3000,pattern_F0.050_k0.045.png,almost uniform
0.16,0.08,0.05,0.05,3000,pattern_F0.050_k0.050.png,almost uniform
0.16,0.08,0.05,0.055,3000,pattern_F0.050_k0.055.png,almost uniform
0.16,0.08,0.05,0.06,3000,pattern_F0.050_k0.060.png,spots or mixed
0.16,0.08,0.05,0.065,3000,pattern_F0.050_k0.065.png,stripe-like or mixed
0.16,0.08,0.05,0.07,3000,pattern_F0.050_k0.070.png,almost uniform
0.16,0.08,0.055,0.045,3000,pattern_F0.055_k0.045.png,almost uniform
0.16,0.08,0.055,0.05,3000,pattern_F0.055_k0.050.png,almost uniform
0.16,0.08,0.055,0.055,3000,pattern_F0.055_k0.055.png,almost uniform
0.16,0.08,0.055,0.06,3000,pattern_F0.055_k0.060.png,spots or mixed
0.16,0.08,0.055,0.065,3000,pattern_F0.055_k0.065.png,stripe-like or mixed
0.16,0.08,0.055,0.07,3000,pattern_F0.055_k0.070.png,almost uniform
0.16,0.08,0.06,0.045,3000,pattern_F0.060_k0.045.png,almost uniform
0.16,0.08,0.06,0.05,3000,pattern_F0.060_k0.050.png,almost uniform
0.16,0.08,0.06,0.055,3000,pattern_F0.060_k0.055.png,almost uniform
0.16,0.08,0.06,0.06,3000,pattern_F0.060_k0.060.png,spots or mixed
0.16,0.08,0.06,0.065,3000,pattern_F0.060_k0.065.png,stripe-like or mixed
0.16,0.08,0.06,0.07,3000,pattern_F0.060_k0.070.png,almost uniform
